
2025/01/04 (16:24:25) | ===> btop++ v.1.4.0
2025/01/04 (16:24:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (18:52:35) | ===> btop++ v.1.4.0
2025/01/04 (18:52:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (19:00:52) | ===> btop++ v.1.4.0
2025/01/04 (19:00:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (18:38:27) | ===> btop++ v.1.4.0
2025/01/07 (18:38:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (12:27:48) | ===> btop++ v.1.4.0
2025/01/09 (12:27:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (09:43:22) | ===> btop++ v.1.4.0
2025/01/10 (09:43:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (01:40:46) | ===> btop++ v.1.4.0
2025/01/11 (01:40:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (01:33:06) | ===> btop++ v.1.4.0
2025/01/19 (01:33:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (18:18:51) | ===> btop++ v.1.4.0
2025/01/27 (18:18:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (21:31:29) | ===> btop++ v.1.4.0
2025/01/27 (21:31:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (02:06:46) | ===> btop++ v.1.4.0
2025/01/29 (02:06:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (23:01:49) | ===> btop++ v.1.4.0
2025/01/31 (23:01:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (23:55:04) | ===> btop++ v.1.4.0
2025/02/02 (23:55:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (23:50:51) | ===> btop++ v.1.4.0
2025/02/06 (23:50:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (11:50:09) | ===> btop++ v.1.4.0
2025/02/10 (11:50:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (11:50:31) | ===> btop++ v.1.4.0
2025/02/10 (11:50:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (22:25:48) | ===> btop++ v.1.4.0
2025/02/16 (22:25:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (00:41:04) | ===> btop++ v.1.4.0
2025/02/18 (00:41:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (11:22:41) | ===> btop++ v.1.4.0
2025/02/21 (11:22:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (20:35:19) | ===> btop++ v.1.4.0
2025/02/22 (20:35:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (20:35:41) | ===> btop++ v.1.4.0
2025/02/25 (20:35:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (20:48:00) | ===> btop++ v.1.4.0
2025/02/26 (20:48:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (12:14:26) | ===> btop++ v.1.4.0
2025/02/27 (12:14:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (00:56:51) | ===> btop++ v.1.4.0
2025/03/02 (00:56:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (01:03:10) | ===> btop++ v.1.4.0
2025/03/02 (01:03:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (19:28:00) | ===> btop++ v.1.4.0
2025/03/02 (19:28:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (18:05:49) | ===> btop++ v.1.4.0
2025/03/04 (18:05:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (23:56:12) | ===> btop++ v.1.4.0
2025/03/05 (23:56:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (21:35:17) | ===> btop++ v.1.4.0
2025/03/06 (21:35:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (09:29:35) | ===> btop++ v.1.4.0
2025/03/07 (09:29:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:55:07) | ===> btop++ v.1.4.0
2025/03/09 (23:55:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (23:44:13) | ===> btop++ v.1.4.0
2025/03/11 (23:44:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (19:16:54) | ===> btop++ v.1.4.0
2025/03/13 (19:16:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (19:16:58) | ===> btop++ v.1.4.0
2025/03/13 (19:16:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (19:17:01) | ===> btop++ v.1.4.0
2025/03/13 (19:17:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (19:17:07) | ===> btop++ v.1.4.0
2025/03/13 (19:17:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (19:17:11) | ===> btop++ v.1.4.0
2025/03/13 (19:17:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (19:17:15) | ===> btop++ v.1.4.0
2025/03/13 (19:17:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (19:53:45) | ===> btop++ v.1.4.0
2025/03/13 (19:53:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (21:35:58) | ===> btop++ v.1.4.0
2025/03/14 (21:35:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (12:11:09) | ===> btop++ v.1.4.0
2025/03/17 (12:11:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (10:25:07) | ===> btop++ v.1.4.0
2025/03/19 (10:25:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:04:15) | ===> btop++ v.1.4.0
2025/03/23 (15:04:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:04:17) | ===> btop++ v.1.4.0
2025/03/23 (15:04:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:04:25) | ===> btop++ v.1.4.0
2025/03/23 (15:04:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:05:13) | ===> btop++ v.1.4.0
2025/03/23 (15:05:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:07:54) | ===> btop++ v.1.4.0
2025/03/23 (15:07:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:07:57) | ===> btop++ v.1.4.0
2025/03/23 (15:07:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (14:11:30) | ===> btop++ v.1.4.0
2025/03/24 (14:11:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (14:11:35) | ===> btop++ v.1.4.0
2025/03/24 (14:11:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (10:42:08) | ===> btop++ v.1.4.0
2025/03/27 (10:42:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (13:14:31) | ===> btop++ v.1.4.0
2025/03/27 (13:14:31) | WARNING: Intel GPU: Failed to initialize PMU

